pais_id,pais,mercado,año,mes,producto,variedad,origen,precio_usd_kg,moneda_cod,moneda
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Anana,Perola,Brasil,1.22,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Banana,Cavdich,Ecuador,0.53,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Pomelo,Star Ruby,Argentina,0.86,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Limón,Eureka,Argentina,1.52,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Manzana,Granny Smith,Argentina,1.84,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Manzana,Red Delicius,Argentina,1.46,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Mandarina,Okitzu,Argentina,0.81,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Melón,Rocio Miel,Argentina,0.85,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Naranja,Valenciana,Argentina,0.38,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Pera,Williams,Argentina,0.83,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Uva,Moscat.Bca,Argentina,1.45,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Cereza,Bing,Argentina,3.89,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Ciruela,Blackamber,Argentina,1.79,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Durazno,Eleg. Lady,Argentina,1.8,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Frutilla,s/especificar,Argentina,1.61,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Kiwi,s/especificar,Argentina,1.66,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Frambuesa,s/especificar,Argentina,,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Acelga,s/especificar,Argentina,0.45,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Ajo,Mdo. Chino,Argentina,3.48,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Albahaca,s/especificar,Argentina,0.26,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Apio,s/especificar,Argentina,1.16,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Arveja,s/especificar,Argentina,0.9,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Batata,Arapey,Brasil,0.72,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Berenjena,Vta.Med.La,Argentina,0.39,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Brocoli,s/especificar,Argentina,1.33,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Cebolla,Colorada,Argentina,0.61,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Chaucha,Esmeralda,Argentina,1.09,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Choclo,Amarillo,Argentina,0.48,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Epinaca,s/especificar,Argentina,1.7,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Lechuga,Criolla,Argentina,1.12,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Papa,Spunta,Argentina,0.42,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Pepino,s/especificar,Argentina,0.28,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Perejil,s/especificar,Argentina,0.86,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Pimiento,Morron,Argentina,0.68,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Radicheta,1er.Corte,Argentina,1.41,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Remolacha,s/especificar,Argentina,0.26,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Repollo,Blanco,Argentina,0.26,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Tomate,Cherry,Argentina,1.02,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Tomate,Perita,Argentina,0.55,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Tomate,Redondo,Argentina,0.54,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Zanahoria,Chantenay,Argentina,0.41,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Zapallito,Redondo,Argentina,0.3,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Enero,Zapallo,Anc.Cokena,Argentina,1.16,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Anana,Perola,Brasil,1.52,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Banana,Cavdich,Ecuador,0.87,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Pomelo,Star Ruby,Argentina,1.16,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Limón,Eureka,Argentina,1.47,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Manzana,Granny Smith,Argentina,1.93,USD,Dolares
32,Argentina,Mercado Central de Buenos Aires,2017,Febrero,Manzana,Red Delicius,Argentina,1.38,USD,Dolares
